car_id,price(USD)
0,5500
1,1250
2,5300
3,5670
4,3550
5,3550
6,1000
7,6450
8,4950
9,9250
10,9250
11,5800
12,10700
13,10100
14,5450
15,5400
16,9666.666667
17,9499.5
18,12500
19,7130
20,8450
21,9600
22,4200
23,4950
24,9500
25,9800
26,4200
27,2990
28,10100
29,5450
30,2818
31,23956
32,3599
33,450
34,6000
35,9666.666667
36,13133
37,4200
38,28100
39,9400
40,9200
41,2000
42,6750
43,6798
44,4350
45,6300
46,4850
47,7900
48,6750
49,10300
50,2300
51,3090
52,14150
53,5950
54,1300
55,4000
56,1100
57,2290
58,2377
59,12500
60,4400
61,1150
62,5400
63,2700
64,6900
65,1500
66,2700
67,1450
68,21700
69,7999
70,1800
71,1999
72,3700
73,1450
74,4800
75,600
76,4400
77,7100
78,25500
79,8100
80,1300
81,5000
82,7850
83,5300
84,5650
85,12900
86,1996
87,3400
88,5400
89,15300
90,1100
91,13200
92,4200
93,4400
94,25500
95,2500
96,700
97,4400
98,13200
99,1450
100,9600
101,12533
102,28900
103,1999
104,2900
105,29000
106,8500
107,1100
108,19900
109,14700
110,14800
111,1999
112,3200
113,29000
114,2300
115,1850
116,12533
117,1450
118,7450
119,4200
120,5000
121,2500
122,1100
123,2750
124,5400
125,10999
126,14500
127,7700
128,3300
129,5200
130,4700
131,8100
132,17500
133,9999
134,1450
135,3200
136,2100
137,1500
138,500
139,800
140,13850
141,470
142,800
143,1500
144,3299
145,3299
146,1500
147,3299
148,1000
149,13850
150,1600
151,13850
152,2850
153,13200
154,13200
155,500
156,13850
157,13200
158,13200
159,1500
160,13750
161,13200
162,1600
163,13850
164,1300
165,1850
166,1850
167,1300
168,1800
169,800
170,13200
171,1600
172,13850
173,618
174,2200
175,1950
176,800
177,1800
178,800
179,300
180,1600
181,700
182,1000
183,618
184,25000
185,700
186,618
187,1800
188,6200
189,6200
190,700
191,750
192,1400
193,450
194,2999
195,600
196,990
197,4000
198,700
199,4000
200,4000
201,900
202,1150
203,1800
204,4500
205,5700
206,17350
207,1000
208,5000
209,2500
210,2450
211,1500
212,2200
213,1600
214,404
215,2450
216,500
217,1950
218,1400
219,1950
220,2000
221,190
222,17800
223,2000
224,2000
225,2079
226,17800
227,17800
228,2079
