,price(USD)
0,8708.51272044145
1,2230.4927876751008
2,2230.4927876751008
3,2180.9082715953
4,2230.4927876751008
5,2230.4927876751008
6,9822.791900363809
7,3196.018419358058
8,3394.356483677262
9,9624.453836044606
10,3196.018419358058
11,9624.453836044606
12,9822.791900363809
13,9624.453836044606
14,3196.018419358058
15,3196.018419358058
16,9624.453836044606
17,9624.453836044606
18,9624.453836044606
19,9822.791900363809
20,3196.018419358058
21,3196.018419358058
22,3196.018419358058
23,3394.356483677262
24,9624.453836044606
25,9822.791900363809
26,3394.356483677262
27,3196.018419358058
28,9624.453836044606
29,9624.453836044606
30,3195.026729036462
31,9574.869319964804
32,9971.545448603214
33,3543.1100319166653
34,9822.791900363809
35,9624.453836044606
36,9624.453836044606
37,3196.018419358058
38,9822.791900363809
39,9624.453836044606
40,9624.453836044606
41,3196.018419358058
42,7726.139481294036
43,7626.970449134434
44,7726.139481294036
45,14303.328446219988
46,14303.328446219988
47,7527.801416974832
48,7726.139481294036
49,14303.328446219988
50,7726.139481294036
51,7726.139481294036
52,14154.574897980583
53,14303.328446219988
54,4161.544051041014
55,10837.902048126569
56,4161.544051041014
57,4161.544051041014
58,4260.713083200617
59,10689.148499887164
60,10689.148499887164
61,4260.713083200617
62,4409.46663144002
63,4260.713083200617
64,10837.902048126569
65,4161.544051041014
66,4260.713083200617
67,4260.713083200617
68,10689.148499887164
69,4260.713083200617
70,4161.544051041014
71,13185.925977564804
72,10689.148499887164
73,4260.713083200617
74,10689.148499887164
75,4260.713083200617
76,10689.148499887164
77,10837.902048126569
78,10689.148499887164
79,10689.148499887164
80,4161.544051041014
81,4409.46663144002
82,10837.902048126569
83,10689.148499887164
84,10689.148499887164
85,10689.148499887164
86,4260.713083200617
87,10490.81043556796
88,4260.713083200617
89,10689.148499887164
90,4161.544051041014
91,10837.902048126569
92,4161.544051041014
93,10689.148499887164
94,10937.071080286169
95,4260.713083200617
96,4161.544051041014
97,10837.902048126569
98,10689.148499887164
99,4260.713083200617
100,10837.902048126569
101,10937.071080286169
102,10936.079389964574
103,4508.635663599622
104,4409.46663144002
105,10937.071080286169
106,4424.34198626396
107,4161.544051041014
108,10937.071080286169
109,10937.071080286169
110,10689.148499887164
111,4409.46663144002
112,4409.46663144002
113,10937.071080286169
114,4260.713083200617
115,4161.544051041014
116,10937.071080286169
117,4260.713083200617
118,10937.071080286169
119,10837.902048126569
120,10689.148499887164
121,4260.713083200617
122,4260.713083200617
123,4260.713083200617
124,4359.882115360219
125,10689.148499887164
126,10689.148499887164
127,4260.713083200617
128,10837.902048126569
129,4161.544051041014
130,4260.713083200617
131,10689.148499887164
132,10689.148499887164
133,4161.544051041014
134,4260.713083200617
135,4409.46663144002
136,3344.7719675974613
137,3096.8493871984556
138,3096.8493871984556
139,3292.2123805528718
140,3096.8493871984556
141,3096.8493871984556
142,3196.018419358058
143,3096.8493871984556
144,3096.8493871984556
145,3245.602935437859
146,2997.680355038853
147,3295.1874515176596
148,3295.1874515176596
149,3096.8493871984556
150,3245.602935437859
151,3295.1874515176596
152,3245.602935437859
153,3245.602935437859
154,3245.602935437859
155,2898.5113228792516
156,3295.1874515176596
157,3295.1874515176596
158,3096.8493871984556
159,3096.8493871984556
160,3344.7719675974613
161,3295.1874515176596
162,3245.602935437859
163,3096.8493871984556
164,3245.602935437859
165,3295.1874515176596
166,3096.8493871984556
167,3295.1874515176596
168,3344.7719675974613
169,3096.8493871984556
170,3256.0156838146168
171,3245.602935437859
172,3295.1874515176596
173,5127.069682723972
174,5325.407747043176
175,5347.720779279086
176,5325.407747043176
177,5325.407747043176
178,5077.485166644171
179,5325.407747043176
180,5325.407747043176
181,5341.274792188712
182,5325.407747043176
183,5226.238714883574
184,5325.407747043176
185,5275.823230963375
186,5127.069682723972
187,5325.407747043176
188,4310.297599280418
189,4111.959534961214
190,4310.297599280418
191,4111.959534961214
192,4111.959534961214
193,4111.959534961214
194,5325.407747043176
195,5347.720779279086
196,5325.407747043176
197,5325.407747043176
198,5325.407747043176
199,5347.720779279086
200,5325.407747043176
201,5325.407747043176
202,5325.407747043176
203,5127.069682723972
204,5127.069682723972
205,5176.6541988037725
206,5325.407747043176
207,5325.407747043176
208,5325.407747043176
209,1661.6432846305524
210,8090.0787013171
211,1562.47425247095
212,1364.136188151746
213,1562.47425247095
214,1364.136188151746
215,1661.6432846305524
216,1463.3052203113484
217,1463.3052203113484
218,1364.136188151746
219,1463.3052203113484
220,2256.6574775881645
221,2306.241993667966
222,1711.2278007103532
223,1859.9813489497565
224,1859.9813489497565
225,1661.6432846305524
226,1760.812316790155
227,1859.9813489497565
228,1859.9813489497565
229,1463.3052203113484
230,1859.9813489497565
231,1859.9813489497565
232,1859.9813489497565
233,1859.9813489497565
234,5127.069682723972
235,4260.713083200617
236,4062.375018881413
237,4161.544051041014
238,4062.375018881413
239,4161.544051041014
240,4161.544051041014
241,4260.713083200617
242,4062.375018881413
243,4152.122992985853
244,4161.544051041014
245,4062.375018881413
246,4161.544051041014
247,4161.544051041014
248,4260.713083200617
249,4161.544051041014
250,4161.544051041014
251,4161.544051041014
252,4211.128567120816
253,4260.713083200617
254,4161.544051041014
255,4161.544051041014
256,4062.375018881413
257,4161.544051041014
258,4260.713083200617
259,4161.544051041014
260,4161.544051041014
261,10639.563983807364
262,4409.46663144002
263,4160.552360719418
264,4161.544051041014
265,4062.375018881413
266,10689.148499887164
267,4161.544051041014
268,4161.544051041014
269,4161.544051041014
270,4161.544051041014
271,4161.544051041014
272,4161.544051041014
273,4161.544051041014
274,4657.389211839025
275,4161.544051041014
276,4062.375018881413
277,4062.375018881413
278,4260.713083200617
279,4161.544051041014
280,4062.375018881413
281,4062.375018881413
282,4260.713083200617
283,4161.544051041014
284,4161.544051041014
285,4161.544051041014
286,4211.128567120816
287,4161.544051041014
288,4161.544051041014
289,4161.544051041014
290,4161.544051041014
291,4161.544051041014
292,10986.65559636597
293,4062.375018881413
294,4161.544051041014
295,4062.375018881413
296,4161.544051041014
297,4161.048205880216
298,4161.544051041014
299,4211.128567120816
300,4161.544051041014
301,4161.544051041014
302,4260.713083200617
303,4062.375018881413
304,4260.713083200617
305,4211.128567120816
306,4161.544051041014
307,4161.544051041014
308,4260.713083200617
309,4211.128567120816
310,4161.544051041014
311,4161.544051041014
312,4152.122992985853
313,4161.544051041014
314,4260.713083200617
315,4211.128567120816
316,4062.375018881413
317,4161.544051041014
318,4161.544051041014
319,4211.128567120816
320,4161.544051041014
321,4161.544051041014
322,4161.544051041014
323,4062.375018881413
324,4409.46663144002
325,4161.544051041014
326,4062.375018881413
327,4161.544051041014
328,4161.544051041014
329,13185.925977564804
330,4161.544051041014
331,4062.375018881413
332,4161.544051041014
333,4062.375018881413
334,4161.544051041014
335,5127.069682723972
336,5275.823230963375
337,5226.238714883574
338,5027.900650564369
339,11704.258647649924
340,5424.576779202777
341,5226.238714883574
342,5275.823230963375
343,5176.6541988037725
344,5523.74581136238
345,5275.823230963375
346,5127.069682723972
347,5275.823230963375
348,5127.069682723972
349,5350.200005083077
350,5275.823230963375
351,5027.900650564369
352,5127.069682723972
353,5027.900650564369
354,5226.238714883574
355,5027.900650564369
356,11853.012195889325
357,5127.069682723972
358,5275.823230963375
359,5127.069682723972
360,5127.069682723972
361,5226.238714883574
362,11803.427679809523
363,5127.069682723972
364,5226.238714883574
365,5280.285837410557
366,5325.407747043176
367,5127.069682723972
368,5275.823230963375
369,5127.069682723972
370,5325.407747043176
371,11853.012195889325
372,5127.069682723972
373,5275.823230963375
374,5275.823230963375
375,5027.900650564369
376,5275.823230963375
377,5127.069682723972
378,5127.069682723972
379,5127.069682723972
380,5027.900650564369
381,5127.069682723972
382,5077.485166644171
383,5355.158456691056
384,5523.74581136238
385,5127.069682723972
386,5127.069682723972
387,5275.823230963375
388,5027.900650564369
389,11853.012195889325
390,5027.900650564369
391,5027.900650564369
392,5027.900650564369
393,5077.485166644171
394,11853.012195889325
395,5275.823230963375
396,5027.900650564369
397,5226.238714883574
398,5127.069682723972
399,5226.238714883574
400,5127.069682723972
401,5275.823230963375
402,4928.731618404768
403,5275.823230963375
404,5226.238714883574
405,5226.238714883574
406,5127.069682723972
407,11704.258647649924
408,5275.823230963375
409,5027.900650564369
410,5275.823230963375
411,5027.900650564369
412,5027.900650564369
413,5424.576779202777
414,5275.823230963375
415,5275.823230963375
416,5275.823230963375
417,5275.823230963375
418,5275.823230963375
419,5027.900650564369
420,5275.823230963375
421,5127.069682723972
422,2280.0773037549015
423,2032.1547233558967
424,2032.1547233558967
425,2230.4927876751008
426,2032.1547233558967
427,1165.798123832542
428,7594.23354051909
429,1165.798123832542
430,1165.798123832542
431,1165.798123832542
432,1165.798123832542
433,1364.136188151746
434,3295.1874515176596
435,3196.018419358058
436,3245.602935437859
437,3196.018419358058
438,3196.018419358058
439,3196.018419358058
440,3196.018419358058
441,3196.018419358058
