,price(USD)
0,9144.900875434687
1,2417.429351599788
2,2417.429351599788
3,2344.4770211539335
4,2417.429351599788
5,2417.429351599788
6,10253.537722245386
7,3307.209207072924
8,3599.0185288563425
9,9961.728400461969
10,3307.209207072924
11,9961.728400461969
12,10253.537722245386
13,9961.728400461969
14,3307.209207072924
15,3307.209207072924
16,9961.728400461969
17,9961.728400461969
18,9961.728400461969
19,10253.537722245386
20,3307.209207072924
21,3307.209207072924
22,3307.209207072924
23,3599.0185288563425
24,9961.728400461969
25,10253.537722245386
26,3599.0185288563425
27,3307.209207072924
28,9961.728400461969
29,9961.728400461969
30,3305.7501604640074
31,9888.776070016112
32,10472.39471358295
33,3817.8755201939057
34,10253.537722245386
35,9961.728400461969
36,9961.728400461969
37,3307.209207072924
38,10253.537722245386
39,9961.728400461969
40,9961.728400461969
41,3307.209207072924
42,7318.39450176348
43,7172.48984087177
44,7318.39450176348
45,14191.770686490087
46,14191.770686490087
47,7026.585179980061
48,7318.39450176348
49,14191.770686490087
50,7318.39450176348
51,7318.39450176348
52,13972.913695152523
53,14191.770686490087
54,4196.98906254606
55,11216.269908164377
56,4196.98906254606
57,4196.98906254606
58,4342.89372343777
59,10997.412916826814
60,10997.412916826814
61,4342.89372343777
62,4561.750714775333
63,4342.89372343777
64,11216.269908164377
65,4196.98906254606
66,4342.89372343777
67,4342.89372343777
68,10997.412916826814
69,4342.89372343777
70,4196.98906254606
71,17474.31320369157
72,10997.412916826814
73,4342.89372343777
74,10997.412916826814
75,4342.89372343777
76,10997.412916826814
77,11216.269908164377
78,10997.412916826814
79,10997.412916826814
80,4196.98906254606
81,4561.750714775333
82,11216.269908164377
83,10997.412916826814
84,10997.412916826814
85,10997.412916826814
86,4342.89372343777
87,10705.603595043394
88,4342.89372343777
89,10997.412916826814
90,4196.98906254606
91,11216.269908164377
92,4196.98906254606
93,10997.412916826814
94,11362.174569056086
95,4342.89372343777
96,4196.98906254606
97,11216.269908164377
98,10997.412916826814
99,4342.89372343777
100,11216.269908164377
101,11362.174569056086
102,11360.715522447168
103,4707.655375667042
104,4561.750714775333
105,11362.174569056086
106,4583.636413909089
107,4196.98906254606
108,11362.174569056086
109,11362.174569056086
110,10997.412916826814
111,4561.750714775333
112,4561.750714775333
113,11362.174569056086
114,4342.89372343777
115,4196.98906254606
116,11362.174569056086
117,4342.89372343777
118,11362.174569056086
119,11216.269908164377
120,10997.412916826814
121,4342.89372343777
122,4342.89372343777
123,4342.89372343777
124,4488.798384329479
125,10997.412916826814
126,10997.412916826814
127,4342.89372343777
128,11216.269908164377
129,4196.98906254606
130,4342.89372343777
131,10997.412916826814
132,10997.412916826814
133,4196.98906254606
134,4342.89372343777
135,4561.750714775333
136,3526.0661984104872
137,3161.3045461812153
138,3161.3045461812153
139,3448.736728137882
140,3161.3045461812153
141,3161.3045461812153
142,3307.209207072924
143,3161.3045461812153
144,3161.3045461812153
145,3380.1615375187785
146,3015.3998852895065
147,3453.113867964633
148,3453.113867964633
149,3161.3045461812153
150,3380.1615375187785
151,3453.113867964633
152,3380.1615375187785
153,3380.1615375187785
154,3380.1615375187785
155,2869.4952243977978
156,3453.113867964633
157,3453.113867964633
158,3161.3045461812153
159,3161.3045461812153
160,3526.0661984104872
161,3453.113867964633
162,3380.1615375187785
163,3161.3045461812153
164,3380.1615375187785
165,3453.113867964633
166,3161.3045461812153
167,3453.113867964633
168,3526.0661984104872
169,3161.3045461812153
170,3395.4815269124083
171,3380.1615375187785
172,3453.113867964633
173,5086.768918019197
174,5378.578239802615
175,5411.406788503249
176,5378.578239802615
177,5378.578239802615
178,5013.816587573342
179,5378.578239802615
180,5378.578239802615
181,5401.922985545289
182,5378.578239802615
183,5232.673578910906
184,5378.578239802615
185,5305.6259093567605
186,5086.768918019197
187,5378.578239802615
188,4415.846053883624
189,4124.036732100206
190,4415.846053883624
191,4124.036732100206
192,4124.036732100206
193,4124.036732100206
194,5378.578239802615
195,5411.406788503249
196,5378.578239802615
197,5378.578239802615
198,5378.578239802615
199,5411.406788503249
200,5378.578239802615
201,5378.578239802615
202,5378.578239802615
203,5086.768918019197
204,5086.768918019197
205,5159.721248465052
206,5378.578239802615
